"match_map_id","map_thumbnail","match_play_duration","match_season","match_uid","match_winner_side","mvp_uid","svp_uid","score_info.0","score_info.1","match_time_stamp","play_mode_id","game_mode_id","match_player.assists","match_player.kills","match_player.deaths","match_player.is_win.score","match_player.is_win.is_win","match_player.disconnected","match_player.player_uid","match_player.camp","match_player.score_info.add_score","match_player.score_info.level","match_player.score_info.new_level","match_player.score_info.new_score","match_player.player_hero.hero_id","match_player.player_hero.hero_name","match_player.player_hero.hero_type","match_player.player_hero.kills","match_player.player_hero.deaths","match_player.player_hero.assists","match_player.player_hero.play_time","match_player.player_hero.total_hero_damage","match_player.player_hero.total_damage_taken","match_player.player_hero.total_hero_heal","mode"
1317,"/maps/map_1317.png",532.6666,"5","5517412_1764145134_1317322_11001_11",1,2074724978,1187969547, 0, 2,1764145824,0,1, 3,12, 6,0,0,FALSE,1055442592,NA, -33.86624,   1.00000,   1.00000,3308.88113,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,10,4, 0,307.2311, 7561.822, 2830.323,    0.000,"Quick Match"
1170,"/maps/map_1170.png",490.1568,"5","5517490_1764144458_1170717_11001_11",0,  61193585, 211981478, 2, 0,1764145106,0,1, 0,10, 3,0,0,FALSE,1055442592, 1,NA,NA,NA,NA,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 9,3, 0,240.3738, 3376.139, 2182.857,    0.000,"Quick Match"
1311,"/maps/map_1311.png",342.6888,"5","5518324_1763886060_1311218_11001_11",1, 863304047,  23594603, 0, 1,1763886592,0,2, 0,11, 8,0,0,FALSE,1055442592,NA, -40.00000,   6.00000,   6.00000,3510.00000,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,11,6, 0,299.5759, 6869.079, 3635.369,    0.000,"Quick Match"
1286,"/maps/map_1286.png",613.8341,"5","5517323_1763883873_1286493_11001_11",1,1558986920, 894222900,NA,NA,1763884575,0,1, 5,18, 8,1,1,FALSE,1055442592, 1,  31.11566,   1.00000,   1.00000,3405.23156,1035,venom,/heroes/transformations/venom-headbig-0.webp,14,3, 5,363.0170,11138.471,21029.808,    0.000,"Quick Match"
1217,"/maps/map_1217.png",658.1341,"5","5517800_1763849171_1217201_11001_11",1,1055442592,1124313401,NA,NA,1763849920,0,1, 0,30, 8,1,1,FALSE,1055442592, 1,  30.30168,   1.00000,   1.00000,3374.11590,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,30,8, 0,658.1313,19632.452, 8744.856,    0.000,"Quick Match"
1034,"/maps/map_1034.png",432.2722,"5","5517742_1763847822_1034226_11001_11",0,1773704330,1669881589,NA,NA,1763848347,0,1, 2,11, 6,0,0,FALSE,1055442592, 1, -28.89445,   1.00000,   1.00000,3343.81422,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,10,5, 2,359.1236,11825.242, 4123.312,    0.000,"Quick Match"
1148,"/maps/map_1148.png",480.0241,"5","6697155_1763803847_1148773_11001_13",1,1055442592,1641912696,NA,NA,1763804419,0,1, 0,24, 6,1,1,FALSE,1055442592, 1,  29.96609,   1.00000,   1.00000,3372.70867,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,16,3, 0,262.5317,10146.811, 2815.365,    0.000,"Quick Match"
1032,"/maps/map_1032.png",612.3394,"5","6697566_1763799442_1032179_11001_13",1,1393329166,1222010876,NA,NA,1763800144,0,1,22,22, 5,0,0,FALSE,1055442592,NA, -33.85776,   1.00000,   1.00000,3342.74258,1047,jeff the land shark,/heroes/transformations/jeff-the-land-shark-headbig-0.webp,22,5,22,612.3369, 8626.613, 3690.295,15588.856,"Quick Match"
1317,"/maps/map_1317.png",542.8573,"5","5517335_1763717320_1317922_11001_11",0,1133032223,1654602403, 2, 0,1763718020,0,1, 0,10, 9,0,0,FALSE,1055442592, 1, -37.15555,   1.00000,   1.00000,3434.65015,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp, 4,5, 0,272.0679, 4806.044, 2206.775,    0.000,"Quick Match"
1307,"/maps/map_1307.png",269.4174,"5","5517603_1763715996_1307331_11001_11",1, 937366651,1267918417,NA,NA,1763716363,0,1, 0, 0, 3,0,0,FALSE,1055442592,NA,NA,NA,NA,NA,1056,angela,/heroes/transformations/angela-headbig-0.webp, 0,2, 0,172.1597,  397.500, 2600.727,    0.000,"Quick Match"
